Age,AgeGroup,Gender,MaritalStatus,SmokerStatus,LifeStyle,LanguageSpoken,HighestEducation,Race,Nationality,MalaysiaPR,MovingToNewCompany,Occupation,Telco,HomeAddress,ResidentialType,NoOfDependent,FamilyExpenses(month),AnnualSalary,Saving(month),Customer_Needs_1,Customer_Needs_2,PurchasedPlan1,Transport,PurchasedPlan2,MedicalComplication
20,18-26,female,unknown,frequent,pub_goer,english,Bachelor,unknown,unknown,yes,yes,unknown,digi,central_mal,condominium,3,7406.0,156529.0,5638.083333333334,PersonalRetirement,KidEducation,SchoolAgain,driving,XEdu,no
36,36-44,male,single,frequent,home,english,Bachelor,malay,unknown,no,no,privateEemployee,celcom,unknown,bungalow,3,4288.0,123292.0,5986.333333333334,PersonalSaving,KidMedical,HomeSafe,driving,XEdu,yes
36,36-44,male,single,frequent,pub_goer,english,Bachelor,others,Malaysian,yes,yes,govServant,digi,unknown,flat,2,7660.0,95457.0,294.75,PersonalRetirement,KidMedical,SchoolAgain,driving,KidsFlyUp,yes
34,27-35,female,married,unknown,outdoor,english,Bachelor,chinese,others,yes,yes,selfEmployed,maxis,east_mal,flat,3,4022.0,153099.0,8736.25,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,no
18,18-26,male,married,unknown,home,malay,Bachelor,unknown,others,yes,yes,privateEemployee,maxis,south_mal,bungalow,3,3122.0,117601.0,6678.083333333334,PersonalSaving,KidEducation,SchoolAgain,publicTransport,NoMoneyDown,yes
34,27-35,female,single,unknown,pub_goer,english,Master,unknown,Malaysian,yes,no,govServant,umobile,north_mal,terrace,3,6932.0,79918.0,-272.16666666666697,PersonalMedical,KidEducation,SchoolAgain,driving,KidsFlyUp,no
37,36-44,female,single,unknown,home,english,Bachelor,unknown,unknown,yes,no,unknown,digi,south_mal,flat,2,10294.0,100793.0,-1894.583333333334,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,yes
26,18-26,male,unknown,frequent,home,english,Master,others,unknown,yes,yes,privateEemployee,umobile,unknown,flat,2,6821.0,89699.0,653.916666666667,PersonalRetirement,KidMedical,SchoolAgain,publicTransport,KidsFlyUp,yes
20,18-26,female,unknown,frequent,outdoor,malay,Bachelor,chinese,unknown,no,yes,privateEemployee,umobile,north_mal,condominium,3,2553.0,144770.0,9511.166666666666,PersonalMedical,KidMedical,SchoolAgain,publicTransport,NoMoneyDown,yes
36,36-44,male,married,once_in_a_while,home,english,Bachelor,unknown,Malaysian,yes,no,unknown,digi,unknown,condominium,3,5542.0,136343.0,5819.916666666666,PersonalRetirement,KidSaving,HomeSafe,publicTransport,XEdu,yes
40,36-44,male,single,sometimes,pub_goer,malay,Bachelor,chinese,Malaysian,yes,yes,unknown,celcom,central_mal,flat,3,9025.0,68302.0,-3333.166666666667,PersonalRetirement,KidMedical,SchoolAgain,publicTransport,KidsFlyUp,no
40,36-44,male,married,frequent,home,mandarin,Bachelor,others,Malaysian,yes,no,employer,maxis,south_mal,terrace,3,2762.0,117142.0,6999.833333333334,PersonalSaving,KidMedical,COVIDFree,publicTransport,NoMoneyDown,yes
23,18-26,male,unknown,once_in_a_while,home,english,Bachelor,indian,Malaysian,yes,yes,unknown,umobile,east_mal,condominium,2,7914.0,167300.0,6027.666666666666,PersonalMedical,KidEducation,COVIDFree,driving,KidsFlyUp,yes
37,36-44,female,married,sometimes,pub_goer,malay,Master,malay,Malaysian,no,yes,privateEemployee,umobile,central_mal,flat,3,7325.0,169046.0,6762.166666666666,PersonalSaving,KidSaving,SchoolAgain,driving,XEdu,yes
35,27-35,male,single,frequent,pub_goer,mandarin,Bachelor,indian,unknown,yes,yes,unknown,digi,north_mal,terrace,3,3265.0,105305.0,5510.416666666666,PersonalSaving,KidSaving,HomeSafe,driving,KidsFlyUp,no
32,27-35,male,single,frequent,pub_goer,english,Bachelor,others,Malaysian,yes,yes,unknown,umobile,central_mal,terrace,2,6347.0,84774.0,717.5,PersonalSaving,KidMedical,SchoolAgain,publicTransport,KidsFlyUp,yes
25,18-26,male,married,frequent,home,english,Bachelor,malay,others,yes,yes,govServant,maxis,south_mal,terrace,2,5288.0,133717.0,5855.083333333334,PersonalRetirement,KidEducation,SchoolAgain,driving,KidsFlyUp,yes
44,36-44,male,single,sometimes,home,english,Bachelor,chinese,Malaysian,yes,yes,govServant,digi,central_mal,condominium,2,2552.0,186967.0,13028.583333333334,PersonalMedical,KidSaving,SchoolAgain,driving,XEdu,yes
22,18-26,female,unknown,unknown,home,mandarin,Bachelor,unknown,Malaysian,yes,yes,privateEemployee,umobile,central_mal,terrace,3,4793.0,111650.0,4511.166666666666,PersonalMedical,KidMedical,SchoolAgain,driving,XEdu,yes
21,18-26,male,single,frequent,home,malay,Bachelor,others,unknown,yes,yes,unknown,digi,south_mal,flat,3,6151.0,139775.0,5496.916666666666,PersonalMedical,KidEducation,HomeSafe,driving,XEdu,no
32,27-35,female,single,frequent,pub_goer,malay,Master,chinese,Malaysian,yes,no,privateEemployee,celcom,unknown,condominium,2,4779.0,176369.0,9918.416666666666,PersonalSaving,KidSaving,SchoolAgain,driving,XEdu,yes
42,36-44,male,unknown,frequent,pub_goer,malay,Bachelor,chinese,unknown,yes,no,unknown,maxis,north_mal,flat,2,6821.0,124415.0,3546.916666666666,PersonalMedical,KidSaving,SchoolAgain,driving,KidsFlyUp,yes
44,36-44,female,unknown,once_in_a_while,outdoor,malay,Diploma,chinese,Malaysian,no,yes,govServant,celcom,south_mal,terrace,2,9187.0,142551.0,2692.25,PersonalRetirement,KidMedical,COVIDFree,driving,XEdu,yes
40,36-44,male,married,once_in_a_while,home,english,Diploma,unknown,Malaysian,yes,yes,privateEemployee,digi,unknown,condominium,2,9394.0,52633.0,-5007.916666666667,PersonalRetirement,KidSaving,HomeSafe,publicTransport,NoMoneyDown,no
33,27-35,female,unknown,sometimes,home,malay,Bachelor,unknown,unknown,yes,yes,privateEemployee,maxis,south_mal,condominium,3,3965.0,119071.0,5957.583333333334,PersonalSaving,KidEducation,SchoolAgain,driving,XEdu,yes
35,27-35,female,single,frequent,pub_goer,english,Bachelor,indian,Malaysian,yes,yes,privateEemployee,maxis,east_mal,flat,2,6749.0,104654.0,1972.166666666666,PersonalMedical,KidMedical,HomeSafe,driving,XEdu,yes
36,36-44,male,married,once_in_a_while,outdoor,malay,Master,unknown,Malaysian,yes,no,privateEemployee,maxis,south_mal,flat,3,4679.0,161739.0,8799.25,PersonalSaving,KidMedical,SchoolAgain,publicTransport,XEdu,no
32,27-35,female,single,once_in_a_while,outdoor,malay,Bachelor,chinese,unknown,no,no,employer,celcom,south_mal,bungalow,2,3112.0,108005.0,5888.416666666666,PersonalRetirement,KidSaving,SchoolAgain,driving,KidsFlyUp,yes
35,27-35,male,married,frequent,outdoor,english,PhD,chinese,Malaysian,yes,yes,unknown,maxis,unknown,bungalow,3,3089.0,167358.0,10857.5,PersonalSaving,KidMedical,SchoolAgain,driving,KidsFlyUp,yes
40,36-44,male,single,frequent,outdoor,english,Bachelor,others,others,yes,yes,govServant,umobile,unknown,flat,3,3266.0,109088.0,5824.666666666666,PersonalRetirement,KidSaving,COVIDFree,publicTransport,KidsFlyUp,no
38,36-44,male,married,sometimes,home,malay,Bachelor,others,Malaysian,yes,yes,unknown,digi,south_mal,terrace,3,2705.0,166134.0,11139.5,PersonalRetirement,KidEducation,SchoolAgain,driving,XEdu,yes
32,27-35,male,married,frequent,pub_goer,mandarin,Bachelor,unknown,Malaysian,yes,yes,privateEemployee,umobile,central_mal,bungalow,2,6821.0,72059.0,-816.083333333333,PersonalSaving,KidEducation,COVIDFree,driving,KidsFlyUp,yes
36,36-44,female,married,once_in_a_while,pub_goer,malay,Diploma,others,others,yes,no,unknown,maxis,unknown,terrace,3,2893.0,190299.0,12965.25,PersonalRetirement,KidEducation,SchoolAgain,driving,XEdu,no
32,27-35,female,unknown,sometimes,pub_goer,malay,Bachelor,others,Malaysian,yes,no,unknown,umobile,central_mal,terrace,3,8313.0,187167.0,7284.25,PersonalRetirement,KidEducation,COVIDFree,driving,NoMoneyDown,yes
42,36-44,male,single,frequent,outdoor,mandarin,Bachelor,malay,Malaysian,yes,yes,unknown,digi,central_mal,condominium,2,6821.0,78725.0,-260.58333333333303,PersonalSaving,KidMedical,COVIDFree,driving,KidsFlyUp,yes
29,27-35,male,married,frequent,outdoor,english,Diploma,unknown,Malaysian,no,no,govServant,umobile,east_mal,flat,2,10462.0,188088.0,5212.0,PersonalSaving,KidSaving,COVIDFree,driving,XEdu,no
31,27-35,male,single,frequent,outdoor,english,Bachelor,others,others,no,no,selfEmployed,maxis,central_mal,flat,2,9257.0,113265.0,181.75,PersonalMedical,KidEducation,SchoolAgain,publicTransport,KidsFlyUp,no
32,27-35,male,unknown,frequent,outdoor,english,Master,malay,unknown,yes,yes,unknown,celcom,unknown,terrace,2,6914.0,58955.0,-2001.083333333333,PersonalRetirement,KidMedical,COVIDFree,driving,KidsFlyUp,yes
29,27-35,male,unknown,once_in_a_while,home,malay,Diploma,malay,unknown,yes,yes,privateEemployee,digi,unknown,terrace,3,9672.0,96559.0,-1625.416666666667,PersonalMedical,KidEducation,SchoolAgain,driving,XEdu,yes
18,18-26,male,single,unknown,pub_goer,english,Bachelor,malay,Malaysian,yes,yes,selfEmployed,maxis,north_mal,condominium,2,3276.0,140009.0,8391.416666666666,PersonalMedical,KidEducation,SchoolAgain,driving,KidsFlyUp,yes
36,36-44,male,unknown,once_in_a_while,pub_goer,malay,Diploma,unknown,Malaysian,yes,yes,unknown,celcom,south_mal,condominium,3,6423.0,95437.0,1530.083333333333,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,yes
39,36-44,male,single,frequent,home,mandarin,Diploma,malay,Malaysian,yes,yes,unknown,celcom,central_mal,terrace,2,7307.0,93413.0,477.41666666666697,PersonalSaving,KidEducation,SchoolAgain,publicTransport,XEdu,yes
28,27-35,female,married,sometimes,home,malay,Master,unknown,unknown,yes,yes,selfEmployed,digi,east_mal,terrace,3,4108.0,124197.0,6241.75,PersonalMedical,KidEducation,SchoolAgain,publicTransport,XEdu,no
38,36-44,male,unknown,sometimes,pub_goer,english,Diploma,chinese,Malaysian,yes,yes,privateEemployee,maxis,central_mal,flat,2,5225.0,154573.0,7656.083333333334,PersonalRetirement,KidEducation,COVIDFree,driving,NoMoneyDown,no
30,27-35,female,unknown,sometimes,outdoor,english,Diploma,indian,Malaysian,yes,no,unknown,digi,north_mal,terrace,3,5613.0,73873.0,543.083333333333,PersonalSaving,KidMedical,SchoolAgain,driving,XEdu,yes
29,27-35,male,married,unknown,home,english,Bachelor,indian,others,yes,yes,unknown,digi,south_mal,terrace,2,5225.0,154573.0,7656.083333333334,PersonalMedical,KidSaving,SchoolAgain,driving,XEdu,no
29,27-35,male,unknown,once_in_a_while,home,english,Bachelor,unknown,Malaysian,no,yes,unknown,umobile,north_mal,condominium,2,8738.0,65119.0,-3311.416666666667,PersonalSaving,KidMedical,HomeSafe,publicTransport,KidsFlyUp,no
33,27-35,female,unknown,once_in_a_while,home,mandarin,Bachelor,malay,unknown,no,no,privateEemployee,umobile,east_mal,terrace,2,9399.0,89974.0,-1901.166666666667,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,yes
26,18-26,male,married,once_in_a_while,pub_goer,mandarin,Bachelor,unknown,unknown,yes,no,unknown,maxis,north_mal,terrace,2,5134.0,117677.0,4672.416666666666,PersonalRetirement,KidMedical,COVIDFree,driving,KidsFlyUp,no
24,18-26,female,unknown,unknown,pub_goer,malay,Bachelor,others,Malaysian,yes,yes,employer,maxis,north_mal,condominium,2,6000.0,75314.0,276.16666666666697,PersonalMedical,KidSaving,COVIDFree,publicTransport,KidsFlyUp,yes
19,18-26,female,unknown,sometimes,home,malay,Bachelor,malay,Malaysian,no,yes,privateEemployee,umobile,central_mal,flat,2,6743.0,162683.0,6813.916666666666,PersonalSaving,KidEducation,COVIDFree,publicTransport,XEdu,no
32,27-35,male,married,frequent,home,english,PhD,indian,unknown,no,yes,privateEemployee,maxis,north_mal,bungalow,2,5225.0,154573.0,7656.083333333334,PersonalSaving,KidEducation,HomeSafe,driving,XEdu,yes
24,18-26,female,single,sometimes,pub_goer,english,Diploma,malay,Malaysian,yes,yes,employer,umobile,unknown,flat,2,7596.0,74541.0,-1384.25,PersonalMedical,KidMedical,COVIDFree,driving,KidsFlyUp,yes
24,18-26,male,unknown,frequent,pub_goer,english,Master,malay,Malaysian,no,yes,unknown,digi,central_mal,terrace,2,6219.0,74541.0,-7.25,PersonalSaving,KidMedical,SchoolAgain,driving,XEdu,yes
34,27-35,female,single,frequent,pub_goer,english,PhD,indian,Malaysian,yes,yes,selfEmployed,celcom,south_mal,flat,2,4542.0,65418.0,909.5,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,yes
18,18-26,male,single,frequent,home,mandarin,Bachelor,others,others,yes,yes,unknown,celcom,central_mal,condominium,2,8645.0,100793.0,-245.58333333333394,PersonalSaving,KidEducation,SchoolAgain,driving,NoMoneyDown,no
21,18-26,female,married,frequent,pub_goer,malay,Bachelor,unknown,others,yes,yes,selfEmployed,maxis,south_mal,condominium,2,8744.0,169844.0,5409.666666666666,PersonalRetirement,KidMedical,SchoolAgain,publicTransport,NoMoneyDown,yes
39,36-44,male,married,sometimes,outdoor,english,PhD,malay,Malaysian,no,yes,privateEemployee,digi,central_mal,condominium,2,8974.0,111412.0,310.33333333333394,PersonalMedical,KidEducation,HomeSafe,driving,NoMoneyDown,no
19,18-26,male,single,sometimes,pub_goer,mandarin,PhD,unknown,Malaysian,yes,no,unknown,umobile,unknown,condominium,2,6136.0,86103.0,1039.25,PersonalSaving,KidMedical,COVIDFree,driving,XEdu,yes
34,27-35,male,married,frequent,pub_goer,english,Bachelor,others,Malaysian,yes,yes,selfEmployed,maxis,north_mal,terrace,2,4542.0,144956.0,7537.666666666666,PersonalSaving,KidMedical,COVIDFree,publicTransport,NoMoneyDown,yes
39,36-44,male,married,once_in_a_while,pub_goer,english,Bachelor,others,unknown,yes,no,unknown,celcom,south_mal,flat,2,10394.0,93413.0,-2609.583333333333,PersonalRetirement,KidMedical,SchoolAgain,publicTransport,NoMoneyDown,yes
25,18-26,male,unknown,sometimes,pub_goer,mandarin,Diploma,others,unknown,no,no,privateEemployee,umobile,central_mal,condominium,2,3240.0,127633.0,7396.083333333334,PersonalSaving,KidEducation,SchoolAgain,driving,NoMoneyDown,no
37,36-44,male,single,sometimes,outdoor,english,Bachelor,indian,others,yes,yes,selfEmployed,digi,south_mal,condominium,2,5325.0,191164.0,10605.333333333334,PersonalSaving,KidSaving,SchoolAgain,driving,NoMoneyDown,no
22,18-26,male,unknown,frequent,pub_goer,english,Master,chinese,Malaysian,yes,no,govServant,maxis,south_mal,flat,2,6307.0,54843.0,-1736.75,PersonalMedical,KidEducation,SchoolAgain,driving,KidsFlyUp,yes
37,36-44,male,single,frequent,outdoor,malay,Diploma,malay,Malaysian,yes,no,govServant,digi,central_mal,flat,2,9553.0,115770.0,94.5,PersonalSaving,KidSaving,HomeSafe,driving,KidsFlyUp,no
34,27-35,female,single,frequent,pub_goer,malay,Bachelor,others,others,yes,no,employer,umobile,east_mal,terrace,3,3809.0,109953.0,5353.75,PersonalSaving,KidEducation,HomeSafe,driving,NoMoneyDown,no
28,27-35,female,unknown,sometimes,pub_goer,mandarin,Diploma,malay,unknown,yes,no,govServant,umobile,central_mal,flat,3,4180.0,102486.0,4360.5,PersonalMedical,KidMedical,SchoolAgain,driving,NoMoneyDown,yes
32,27-35,male,unknown,frequent,pub_goer,english,Bachelor,others,Malaysian,yes,yes,privateEemployee,digi,south_mal,flat,2,9027.0,113584.0,438.33333333333394,PersonalMedical,KidEducation,COVIDFree,driving,KidsFlyUp,yes
43,36-44,male,single,once_in_a_while,pub_goer,english,Bachelor,chinese,unknown,yes,yes,privateEemployee,digi,unknown,flat,2,5586.0,97322.0,2524.166666666667,PersonalRetirement,KidEducation,SchoolAgain,driving,NoMoneyDown,yes
36,36-44,male,married,sometimes,pub_goer,english,Bachelor,others,unknown,no,yes,unknown,maxis,unknown,condominium,2,7377.0,88612.0,7.33333333333303,PersonalMedical,KidSaving,HomeSafe,publicTransport,NoMoneyDown,yes
21,18-26,male,single,sometimes,home,mandarin,Bachelor,chinese,Malaysian,yes,yes,selfEmployed,umobile,central_mal,condominium,2,8580.0,100793.0,-180.58333333333394,PersonalMedical,KidEducation,SchoolAgain,driving,KidsFlyUp,yes
43,36-44,male,single,once_in_a_while,pub_goer,malay,Bachelor,indian,Malaysian,yes,yes,selfEmployed,maxis,east_mal,flat,2,4073.0,166141.0,9772.083333333334,PersonalRetirement,KidEducation,HomeSafe,driving,KidsFlyUp,no
27,27-35,male,single,sometimes,home,mandarin,Master,chinese,Malaysian,yes,yes,selfEmployed,celcom,unknown,condominium,2,2691.0,100793.0,5708.416666666666,PersonalMedical,KidEducation,SchoolAgain,driving,XEdu,no
25,18-26,male,married,sometimes,outdoor,mandarin,Bachelor,indian,Malaysian,yes,no,selfEmployed,digi,central_mal,condominium,2,7957.0,150729.0,4603.75,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,yes
35,27-35,male,married,frequent,home,malay,Bachelor,malay,Malaysian,yes,no,govServant,celcom,south_mal,flat,2,2557.0,79926.0,4103.5,PersonalSaving,KidMedical,SchoolAgain,driving,NoMoneyDown,yes
20,18-26,male,married,frequent,home,malay,Bachelor,unknown,unknown,no,no,unknown,maxis,east_mal,flat,2,7220.0,100793.0,1179.416666666666,PersonalSaving,KidEducation,SchoolAgain,publicTransport,NoMoneyDown,yes
36,36-44,male,unknown,once_in_a_while,pub_goer,mandarin,PhD,malay,others,yes,yes,privateEemployee,celcom,east_mal,condominium,2,5210.0,95457.0,2744.75,PersonalMedical,KidMedical,SchoolAgain,driving,KidsFlyUp,yes
44,36-44,male,single,sometimes,home,english,Bachelor,unknown,Malaysian,yes,yes,unknown,celcom,north_mal,condominium,2,7400.0,100793.0,999.4166666666661,PersonalRetirement,KidMedical,HomeSafe,driving,XEdu,no
27,27-35,female,married,unknown,home,english,Bachelor,chinese,unknown,yes,yes,govServant,umobile,north_mal,flat,2,6711.0,124152.0,3635.0,PersonalMedical,KidSaving,SchoolAgain,driving,NoMoneyDown,yes
32,27-35,male,married,sometimes,outdoor,malay,Bachelor,others,unknown,yes,no,unknown,maxis,unknown,flat,2,6730.0,72109.0,-720.916666666667,PersonalRetirement,KidMedical,SchoolAgain,driving,XEdu,yes
28,27-35,male,married,once_in_a_while,pub_goer,mandarin,Diploma,chinese,unknown,yes,yes,selfEmployed,celcom,central_mal,condominium,2,3927.0,186487.0,11613.583333333334,PersonalRetirement,KidMedical,HomeSafe,publicTransport,XEdu,yes
28,27-35,male,single,unknown,home,mandarin,Master,malay,Malaysian,no,no,govServant,digi,central_mal,condominium,2,3045.0,100793.0,5354.416666666666,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,yes
33,27-35,male,single,sometimes,home,malay,Bachelor,indian,unknown,no,yes,selfEmployed,digi,north_mal,condominium,2,4151.0,114929.0,5426.416666666666,PersonalSaving,KidMedical,COVIDFree,driving,XEdu,no
32,27-35,female,married,once_in_a_while,pub_goer,malay,Bachelor,unknown,unknown,yes,yes,unknown,digi,east_mal,condominium,2,6714.0,175369.0,7900.083333333334,PersonalMedical,KidEducation,SchoolAgain,driving,XEdu,yes
22,18-26,female,married,unknown,home,english,Bachelor,others,Malaysian,yes,yes,govServant,digi,unknown,bungalow,2,9419.0,51109.0,-5159.916666666667,PersonalSaving,KidEducation,SchoolAgain,driving,XEdu,no
39,36-44,female,married,frequent,pub_goer,english,Bachelor,chinese,Malaysian,yes,yes,govServant,celcom,central_mal,condominium,2,7041.0,87787.0,274.58333333333303,PersonalSaving,KidSaving,SchoolAgain,driving,KidsFlyUp,yes
35,27-35,female,single,frequent,home,mandarin,Bachelor,chinese,unknown,yes,yes,privateEemployee,celcom,east_mal,flat,2,4830.0,114685.0,4727.083333333334,PersonalRetirement,KidMedical,HomeSafe,publicTransport,NoMoneyDown,no
42,36-44,female,single,sometimes,pub_goer,english,Bachelor,malay,unknown,yes,no,govServant,maxis,central_mal,flat,2,4358.0,118424.0,5510.666666666666,PersonalSaving,KidMedical,SchoolAgain,publicTransport,KidsFlyUp,yes
32,27-35,male,unknown,sometimes,pub_goer,malay,Diploma,malay,unknown,yes,yes,govServant,digi,central_mal,terrace,2,6203.0,134817.0,5031.75,PersonalMedical,KidEducation,COVIDFree,driving,KidsFlyUp,no
27,27-35,female,single,frequent,pub_goer,malay,Diploma,others,Malaysian,yes,no,unknown,maxis,north_mal,terrace,2,5216.0,118014.0,4618.5,PersonalRetirement,KidMedical,SchoolAgain,driving,XEdu,no
43,36-44,male,single,frequent,home,english,Bachelor,indian,others,yes,no,govServant,umobile,central_mal,flat,2,8745.0,140871.0,2994.25,PersonalMedical,KidMedical,HomeSafe,driving,KidsFlyUp,yes
33,27-35,female,single,frequent,home,english,Master,malay,unknown,yes,no,govServant,maxis,unknown,condominium,2,9399.0,102477.0,-859.25,PersonalRetirement,KidEducation,COVIDFree,driving,KidsFlyUp,no
33,27-35,male,unknown,frequent,pub_goer,malay,Bachelor,unknown,Malaysian,no,yes,unknown,umobile,central_mal,condominium,2,7891.0,131885.0,3099.416666666666,PersonalRetirement,KidEducation,HomeSafe,publicTransport,KidsFlyUp,yes
24,18-26,female,married,frequent,pub_goer,english,Bachelor,others,Malaysian,yes,no,privateEemployee,celcom,unknown,flat,2,6647.0,74541.0,-435.25,PersonalSaving,KidEducation,HomeSafe,driving,NoMoneyDown,yes
32,27-35,male,single,once_in_a_while,pub_goer,mandarin,Bachelor,malay,unknown,yes,yes,govServant,digi,south_mal,flat,2,9509.0,104929.0,-764.9166666666661,PersonalSaving,KidEducation,COVIDFree,driving,XEdu,yes
24,18-26,female,single,unknown,pub_goer,malay,Bachelor,chinese,unknown,yes,yes,unknown,celcom,south_mal,terrace,2,5748.0,74541.0,463.75,PersonalMedical,KidMedical,COVIDFree,publicTransport,KidsFlyUp,yes
25,18-26,male,unknown,frequent,home,english,Master,chinese,Malaysian,yes,no,selfEmployed,celcom,unknown,condominium,2,10219.0,117072.0,-463.0,PersonalRetirement,KidMedical,SchoolAgain,publicTransport,XEdu,yes
27,27-35,female,single,sometimes,home,english,Bachelor,chinese,unknown,yes,no,privateEemployee,celcom,south_mal,condominium,2,4099.0,144792.0,7967.0,PersonalSaving,KidSaving,COVIDFree,driving,KidsFlyUp,yes
39,36-44,male,single,frequent,home,english,Bachelor,others,Malaysian,yes,yes,unknown,maxis,central_mal,flat,2,5225.0,154573.0,7656.083333333334,PersonalMedical,KidEducation,SchoolAgain,driving,NoMoneyDown,no
38,36-44,male,single,frequent,pub_goer,malay,Bachelor,chinese,Malaysian,yes,yes,privateEemployee,celcom,unknown,terrace,2,5225.0,154573.0,7656.083333333334,PersonalSaving,KidMedical,COVIDFree,driving,XEdu,yes
33,27-35,female,single,sometimes,pub_goer,mandarin,Bachelor,indian,unknown,yes,no,privateEemployee,umobile,central_mal,condominium,2,7573.0,79116.0,-980.0,PersonalMedical,KidSaving,COVIDFree,driving,XEdu,yes
